,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
157,Z3058WTS,4000787030016,0,0.0,0.0,0.0,0.0,0.0,26665,34262.0,20,43989568280.0,134120477409.0
21511,Z3025WD4,4000787030016,0,0.0,0.0,2.0,0.0,0.0,37085,151921.0,24,26430570009.0,274865041422.0
1967,Z302BVCZ,4000787030016,0,0.0,0.0,0.0,0.0,0.0,31758,40089.0,21,54654232648.0,104750328834.0
7488,S300Z61D,4000787030016,1,0.0,16.0,1.0,56.0,56.0,31713,38454.0,16,57616382504.0,105955767365.0
9598,Z302AYKZ,4000787030016,1,1856.0,32.0,0.0,8.0,8.0,34132,55556.0,19,56246163984.0,111794001877.0
13985,Z3025L0M,4000787030016,1,2424.0,41.0,1.0,2496.0,2496.0,36163,647477.0,26,24332613468.0,226096317839.0
7490,S300Z61D,4000787030016,1,0.0,15.0,1.0,48.0,48.0,31690,38454.0,17,57601145832.0,105775432775.0
2172,Z305DH9M,4000787030016,0,0.0,0.0,0.0,0.0,0.0,25572,2694.0,21,44154683648.0,123151702884.0
9600,Z302AYKZ,4000787030016,1,784.0,14.0,0.0,0.0,0.0,34108,55556.0,19,56226330896.0,111648236294.0
17237,S301PXNA,4000787030016,0,0.0,0.0,0.0,0.0,0.0,27318,5222.0,21,47332998904.0,118810196122.0
13988,Z3025L0M,4000787030016,1,72.0,18.0,1.0,1784.0,1784.0,36138,647475.0,26,24331242974.0,226064183067.0
5024,Z3029GGT,4000787030016,0,0.0,0.0,0.0,0.0,0.0,34126,52681.0,20,58337459768.0,127021430382.0
7490,S300Z61D,4000787030016,1,0.0,15.0,1.0,48.0,48.0,31666,38454.0,17,57580769976.0,105601005132.0
3732,S300ZNXM,4000787030016,0,0.0,0.0,0.0,0.0,0.0,30651,36942.0,21,55688001464.0,114633658356.0
